Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
DenseNet-121,48.67724867724868,1.8864611535476,0.4735846853102708,0.543694543600204,0.4879308390022676,0.4678865605259141,0.4867724867724867,0.4645136714297712,0.5342465753424658,0.527027027027027,0.5306122448979592,74.0,0.2258064516129032,0.1320754716981132,0.1666666666666666,53.0,0.7142857142857143,0.6756756756756757,0.6944444444444444,37.0,0.42,0.84,0.56,25.0,0.7099914134654487,0.7062978826647256,0.6404230317273796,0.4497780244173141,0.8831792318634425,0.8665853658536585,0.6404230317273796,0.4497780244173141,0.8831792318634425,0.8665853658536585,0.7062978826647256
EfficientNet-B0_with_ImagingType,48.67724867724868,1.8830829259579775,0.411221092210469,0.5395818459969404,0.4526805236107561,0.4184957600890011,0.4867724867724867,0.4379822575466724,0.5714285714285714,0.5405405405405406,0.5555555555555556,74.0,0.0588235294117647,0.0188679245283018,0.0285714285714285,53.0,0.6938775510204082,0.918918918918919,0.7906976744186046,37.0,0.320754716981132,0.68,0.4358974358974359,25.0,0.7039774856033627,0.6942601457592639,0.7253819036427732,0.3411487236403995,0.953769559032717,0.795609756097561,0.7253819036427732,0.3411487236403995,0.953769559032717,0.795609756097561,0.6942601457592639
Inception V4,47.61904761904762,2.190843170282071,0.4628855592764043,0.546236613972463,0.4792093237879708,0.4564224030186471,0.4761904761904761,0.4480814654310852,0.4788732394366197,0.4594594594594595,0.4689655172413793,74.0,0.3461538461538461,0.1698113207547169,0.2278481012658227,53.0,0.5681818181818182,0.6756756756756757,0.6172839506172839,37.0,0.4583333333333333,0.88,0.6027397260273972,25.0,0.7285992824939784,0.7114769090077732,0.6344300822561693,0.5216426193118756,0.8188122332859175,0.9395121951219512,0.6344300822561693,0.5216426193118756,0.8188122332859175,0.9395121951219512,0.7114769090077732
Inception ResNet V2,46.03174603174603,1.7268908257206912,0.4827143569292123,0.5528658847526772,0.5051048293811451,0.4471114874072667,0.4603174603174603,0.4439206838830898,0.392156862745098,0.2702702702702703,0.32,74.0,0.3220338983050847,0.3584905660377358,0.3392857142857143,53.0,0.6666666666666666,0.7027027027027027,0.6842105263157895,37.0,0.55,0.88,0.676923076923077,25.0,0.7571604023129093,0.7445060328658213,0.6126909518213867,0.5799112097669257,0.9109174964438124,0.9251219512195122,0.6126909518213867,0.5799112097669257,0.9109174964438124,0.9251219512195122,0.7445060328658213
EfficientNet-B1,46.03174603174603,2.2547034176569136,0.4364893684746626,0.5283401325854156,0.4462106197271001,0.4582881974338557,0.4603174603174603,0.4349320318710496,0.6363636363636364,0.4729729729729729,0.5426356589147286,74.0,0.125,0.0566037735849056,0.0779220779220779,53.0,0.6904761904761905,0.7837837837837838,0.7341772151898734,37.0,0.2941176470588235,0.8,0.4301075268817204,25.0,0.75242659329478,0.7167959090357681,0.7969447708578142,0.5163706992230854,0.8817567567567568,0.8146341463414635,0.7969447708578142,0.5163706992230854,0.8817567567567568,0.8146341463414635,0.7167959090357681
MobileNetV3 Large,46.03174603174603,2.318530009537147,0.4205154616338826,0.5068408975012749,0.4334610917537747,0.4514445016394334,0.4603174603174603,0.4321927206015475,0.625,0.4729729729729729,0.5384615384615384,74.0,0.1818181818181818,0.0754716981132075,0.1066666666666666,53.0,0.6296296296296297,0.918918918918919,0.7472527472527473,37.0,0.2456140350877192,0.56,0.3414634146341463,25.0,0.7149020229928249,0.6983380457807266,0.7226792009400705,0.5176193118756937,0.8968705547652916,0.7224390243902439,0.7226792009400705,0.5176193118756937,0.8968705547652916,0.7224390243902439,0.6983380457807266
RegNet-Y-1.6GF_with_ImagingType,46.03174603174603,2.193188119817663,0.4407505596795098,0.4970729219785823,0.4534848521960046,0.4680187501207885,0.4603174603174603,0.4526769047574043,0.6666666666666666,0.5135135135135135,0.5801526717557252,74.0,0.1707317073170731,0.1320754716981132,0.1489361702127659,53.0,0.5777777777777777,0.7027027027027027,0.6341463414634146,37.0,0.3478260869565217,0.64,0.4507042253521127,25.0,0.7124128167907169,0.6944001194442111,0.6719153936545241,0.4832130965593785,0.8979374110953058,0.7965853658536586,0.6719153936545241,0.4832130965593785,0.8979374110953058,0.7965853658536586,0.6944001194442111
MaxViT-Small,45.5026455026455,1.7711397617582292,0.4254261363636363,0.4551504334523202,0.4324289286804587,0.4631978633204123,0.455026455026455,0.4510971786573581,0.5454545454545454,0.4054054054054054,0.4651162790697674,74.0,0.392156862745098,0.3773584905660377,0.3846153846153846,53.0,0.6078431372549019,0.8378378378378378,0.7045454545454546,37.0,0.15625,0.2,0.175438596491228,25.0,0.7347727909520008,0.740806061793716,0.700940070505288,0.6462264150943396,0.9055832147937412,0.6863414634146341,0.700940070505288,0.6462264150943396,0.9055832147937412,0.6863414634146341,0.740806061793716
XCiT-Tiny-P16_with_ImagingType,45.5026455026455,2.2685367360947626,0.4583805046819707,0.5054258031616522,0.424124063822859,0.5273054357938771,0.455026455026455,0.4462553086649473,0.7843137254901961,0.5405405405405406,0.64,74.0,0.4285714285714285,0.1698113207547169,0.2432432432432432,53.0,0.2826086956521739,0.3513513513513513,0.3132530120481928,37.0,0.3380281690140845,0.96,0.5,25.0,0.7863980770007246,0.7316611143771637,0.8518213866039954,0.6767480577136515,0.7475106685633002,0.8695121951219511,0.8518213866039954,0.6767480577136515,0.7475106685633002,0.8695121951219511,0.7316611143771637
ResNet-101,44.973544973544975,2.2696232663260565,0.4327821878282606,0.4836562978072412,0.4366850500246022,0.4651378773069572,0.4497354497354497,0.4439070202218745,0.6666666666666666,0.5405405405405406,0.5970149253731343,74.0,0.2325581395348837,0.1886792452830188,0.2083333333333333,53.0,0.4545454545454545,0.4054054054054054,0.4285714285714285,37.0,0.3773584905660377,0.8,0.5128205128205128,25.0,0.7142473130071002,0.7114862405867698,0.7707403055229142,0.4635127635960044,0.7629800853485065,0.8597560975609756,0.7707403055229142,0.4635127635960044,0.7629800853485065,0.8597560975609756,0.7114862405867698
