Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
Inception V4,52.38095238095238,1.851401206046816,0.5619302361319023,0.5922667006629271,0.5348268396895399,0.6056779943905777,0.5238095238095238,0.5301154016384121,0.813953488372093,0.4729729729729729,0.5982905982905983,74.0,0.3095238095238095,0.2452830188679245,0.2736842105263158,53.0,0.8108108108108109,0.8108108108108109,0.8108108108108109,37.0,0.3134328358208955,0.84,0.4565217391304347,25.0,0.8182522763945428,0.7927922883831173,0.891539365452409,0.6069644839067703,0.9091394025604552,0.8653658536585367,0.891539365452409,0.6069644839067703,0.9091394025604552,0.8653658536585367,0.7927922883831173
MaxViT-Small,51.32275132275132,1.8718670720145816,0.4920005370569281,0.5015323814380418,0.4592813657713297,0.5434505765547656,0.5132275132275133,0.4915114521427782,0.6447368421052632,0.6621621621621622,0.6533333333333333,74.0,0.5,0.1320754716981132,0.208955223880597,53.0,0.66,0.8918918918918919,0.7586206896551724,37.0,0.1632653061224489,0.32,0.2162162162162162,25.0,0.7619138410862878,0.769901925104747,0.8064629847238544,0.6707824639289678,0.9582147937411096,0.6121951219512195,0.8064629847238544,0.6707824639289678,0.9582147937411096,0.6121951219512195,0.769901925104747
RegNet-Y-400MF,50.79365079365079,1.5795770763720154,0.5095324592682263,0.5712060173380928,0.5179154288406257,0.5187390776303432,0.5079365079365079,0.4953510211915412,0.4716981132075472,0.3378378378378378,0.3937007874015748,74.0,0.5789473684210527,0.4150943396226415,0.4835164835164835,53.0,0.6470588235294118,0.8918918918918919,0.75,37.0,0.3404255319148936,0.64,0.4444444444444444,25.0,0.799478996631267,0.7775444883028657,0.6708578143360753,0.7697003329633739,0.924431009957326,0.8329268292682928,0.6708578143360753,0.7697003329633739,0.924431009957326,0.8329268292682928,0.7775444883028657
DenseNet-121,50.264550264550266,1.603606488338854,0.5431006493506494,0.5744033656297808,0.514289488439546,0.5582663368377654,0.5026455026455027,0.5009012100884441,0.5892857142857143,0.4459459459459459,0.5076923076923077,74.0,0.4545454545454545,0.2830188679245283,0.3488372093023256,53.0,0.8,0.6486486486486487,0.7164179104477612,37.0,0.3285714285714285,0.92,0.4842105263157895,25.0,0.8030768281999835,0.7803252988438174,0.7730904817861339,0.672031076581576,0.8710881934566146,0.8960975609756097,0.7730904817861339,0.672031076581576,0.8710881934566146,0.8960975609756097,0.7803252988438174
EfficientNet-B6,49.20634920634921,2.2370481150490895,0.4510763893108435,0.4575879653238144,0.4168650793650794,0.5423578765276927,0.492063492063492,0.4807634164777022,0.7868852459016393,0.6486486486486487,0.7111111111111111,74.0,0.4736842105263157,0.1698113207547169,0.25,53.0,0.4647887323943662,0.8918918918918919,0.6111111111111112,37.0,0.0789473684210526,0.12,0.0952380952380952,25.0,0.7628139347121725,0.7514347302707091,0.8581668625146885,0.6932574916759157,0.9295874822190612,0.5702439024390245,0.8581668625146885,0.6932574916759157,0.9295874822190612,0.5702439024390245,0.7514347302707091
EfficientNet-B0,48.67724867724868,1.990814762140708,0.497869616512449,0.5493829678735339,0.4826140101083273,0.5235635472712681,0.4867724867724867,0.4759327558291746,0.6545454545454545,0.4864864864864865,0.5581395348837209,74.0,0.2608695652173913,0.1132075471698113,0.1578947368421052,53.0,0.8157894736842105,0.8378378378378378,0.8266666666666667,37.0,0.2602739726027397,0.76,0.3877551020408163,25.0,0.7647187621265161,0.7371480828270952,0.7896592244418332,0.519700332963374,0.908783783783784,0.8407317073170733,0.7896592244418332,0.519700332963374,0.908783783783784,0.8407317073170733,0.7371480828270952
CoAtNet-1,48.67724867724868,1.7266802440875422,0.511215770663445,0.4765706272310046,0.4706938300517536,0.5506598575535452,0.4867724867724867,0.5034838838276546,0.803030303030303,0.7162162162162162,0.7571428571428571,74.0,0.0930232558139534,0.0754716981132075,0.0833333333333333,53.0,0.9166666666666666,0.5945945945945946,0.7213114754098361,37.0,0.2321428571428571,0.52,0.3209876543209876,25.0,0.7170756526418194,0.747599451303155,0.917508813160987,0.3372641509433962,0.9091394025604552,0.704390243902439,0.917508813160987,0.3372641509433962,0.9091394025604552,0.704390243902439,0.747599451303155
Swin-V2-S,48.148148148148145,1.1255044098253604,0.3783025886572175,0.4207674655787863,0.3978429803503156,0.4231347770578231,0.4814814814814814,0.4498508573479676,0.550561797752809,0.6621621621621622,0.6012269938650306,74.0,0.2258064516129032,0.2641509433962264,0.2434782608695652,53.0,0.7368421052631579,0.7567567567567568,0.7466666666666667,37.0,0.0,0.0,0.0,25.0,0.7783933580988627,0.7941546989166037,0.8062279670975323,0.5846281908990011,0.9310099573257468,0.7917073170731708,0.8062279670975323,0.5846281908990011,0.9310099573257468,0.7917073170731708,0.7941546989166037
MViT-V2-Tiny,46.56084656084656,3.202225951290635,0.5085901799124405,0.5094875063742987,0.4676786337620939,0.5778894378900771,0.4656084656084656,0.4800527535874924,0.8611111111111112,0.4189189189189189,0.5636363636363636,74.0,0.3518518518518518,0.3584905660377358,0.3551401869158878,53.0,0.5263157894736842,0.5405405405405406,0.5333333333333333,37.0,0.2950819672131147,0.72,0.4186046511627907,25.0,0.6914436687666203,0.6887731773093324,0.6709753231492362,0.547031076581576,0.855085348506401,0.6926829268292682,0.6709753231492362,0.547031076581576,0.855085348506401,0.6926829268292682,0.6887731773093324
EfficientFormer-L1,46.56084656084656,2.0507544436782754,0.4658796296296296,0.5284905660377359,0.4834789569010628,0.4608573388203018,0.4656084656084656,0.4524175482860681,0.4074074074074074,0.2972972972972973,0.34375,74.0,0.5111111111111111,0.4339622641509434,0.4693877551020408,53.0,0.52,0.7027027027027027,0.5977011494252874,37.0,0.425,0.68,0.5230769230769231,25.0,0.7580077678709068,0.7404514617918497,0.5739130434782609,0.7171198668146505,0.8890469416785207,0.8519512195121952,0.5739130434782609,0.7171198668146505,0.8890469416785207,0.8519512195121952,0.7404514617918497
RegNet-Y-1.6GF,45.5026455026455,2.088075528857569,0.5581082051670286,0.5325242223355431,0.4706078384418901,0.6142417440269914,0.455026455026455,0.4711867849878705,0.8235294117647058,0.3783783783783784,0.5185185185185185,74.0,0.3783783783783784,0.2641509433962264,0.3111111111111111,53.0,0.7777777777777778,0.5675675675675675,0.65625,37.0,0.2527472527472527,0.92,0.396551724137931,25.0,0.7962900271745629,0.7285163722553494,0.8320799059929495,0.5682574916759157,0.8472617354196302,0.9375609756097562,0.8320799059929495,0.5682574916759157,0.8472617354196302,0.9375609756097562,0.7285163722553494
CoAtNet-0,45.5026455026455,2.173661343004338,0.4417075163398692,0.454260581336053,0.4374270913172757,0.4452579797351039,0.455026455026455,0.4423871754519765,0.5529411764705883,0.6351351351351351,0.5911949685534591,74.0,0.1388888888888889,0.0943396226415094,0.1123595505617977,53.0,0.75,0.5675675675675675,0.6461538461538462,37.0,0.325,0.52,0.4,25.0,0.6804766094931991,0.6867762194040852,0.7683901292596944,0.3066037735849056,0.8403271692745378,0.8065853658536586,0.7683901292596944,0.3066037735849056,0.8403271692745378,0.8065853658536586,0.6867762194040852
EfficientNet-B3,44.44444444444444,1.8735443788861472,0.3772434643263085,0.4655711371749108,0.3648757431728317,0.4212859468584587,0.4444444444444444,0.3612580935494113,0.4666666666666667,0.0945945945945946,0.1573033707865168,74.0,0.449438202247191,0.7547169811320755,0.5633802816901409,53.0,0.5373134328358209,0.972972972972973,0.6923076923076923,37.0,0.0555555555555555,0.04,0.0465116279069767,25.0,0.782922087319767,0.7781697040956301,0.7902467685076381,0.8182574916759157,0.9592816500711238,0.5639024390243903,0.7902467685076381,0.8182574916759157,0.9592816500711238,0.5639024390243903,0.7781697040956301
EfficientNet-B1,43.386243386243386,2.5101592982256853,0.466844586671878,0.5258057113717491,0.4620327896704043,0.4711914481554896,0.4338624338624338,0.4195523590188898,0.5588235294117647,0.2567567567567567,0.3518518518518518,74.0,0.1964285714285714,0.2075471698113207,0.2018348623853211,53.0,0.7906976744186046,0.918918918918919,0.85,37.0,0.3214285714285714,0.72,0.4444444444444444,25.0,0.6976502670197711,0.6844246614969719,0.5842538190364277,0.4259156492785794,0.9765291607396872,0.8039024390243903,0.5842538190364277,0.4259156492785794,0.9765291607396872,0.8039024390243903,0.6844246614969719
EfficientNet-B2,43.386243386243386,1.8159018862184393,0.4488978601300406,0.494673635900051,0.4586090432864627,0.4410773371217829,0.4338624338624338,0.4269230039839358,0.42,0.2837837837837837,0.3387096774193548,74.0,0.2941176470588235,0.2830188679245283,0.2884615384615384,53.0,0.8048780487804879,0.8918918918918919,0.8461538461538461,37.0,0.2765957446808511,0.52,0.3611111111111111,25.0,0.7293042140769159,0.7239625617050662,0.5804935370152762,0.623196448390677,0.9727951635846374,0.740731707317073,0.5804935370152762,0.623196448390677,0.9727951635846374,0.740731707317073,0.7239625617050662
ConvNeXt-Base,43.386243386243386,2.0226308406976163,0.5033235118734435,0.4467899031106578,0.3488801031402412,0.5847945353189312,0.4338624338624338,0.3953082897415496,0.6282051282051282,0.6621621621621622,0.6447368421052632,74.0,1.0,0.1509433962264151,0.2622950819672131,53.0,0.1176470588235294,0.054054054054054,0.074074074074074,37.0,0.2674418604651162,0.92,0.4144144144144144,25.0,0.7117611722795887,0.6554407771338988,0.7229142185663925,0.7552719200887903,0.615931721194879,0.7529268292682927,0.7229142185663925,0.7552719200887903,0.615931721194879,0.7529268292682927,0.6554407771338988
MViT-V2-Base,42.32804232804233,1.5104501903372467,0.3051944852545956,0.4816522182559918,0.3634424077160026,0.2862812197656502,0.4232804232804232,0.3321865881579057,0.0,0.0,0.0,74.0,0.6779661016949152,0.7547169811320755,0.7142857142857143,53.0,0.3837209302325581,0.8918918918918919,0.5365853658536586,37.0,0.1590909090909091,0.28,0.2028985507246377,25.0,0.6666104808053355,0.627856629620298,0.436310223266745,0.8487791342952276,0.8703769559032717,0.5109756097560976,0.436310223266745,0.8487791342952276,0.8703769559032717,0.5109756097560976,0.627856629620298
DenseNet-201,41.7989417989418,1.562963327402791,0.4219056744832077,0.4861652218255992,0.4247430064037749,0.4405319698407047,0.4179894179894179,0.4062208990250783,0.6086956521739131,0.3783783783783784,0.4666666666666667,74.0,0.1025641025641025,0.0754716981132075,0.0869565217391304,53.0,0.6976744186046512,0.8108108108108109,0.75,37.0,0.2786885245901639,0.68,0.3953488372093023,25.0,0.7703290698928962,0.7588719987309053,0.7333725029377203,0.5973917869034406,0.9342105263157896,0.8163414634146342,0.7333725029377203,0.5973917869034406,0.9342105263157896,0.8163414634146342,0.7588719987309053
DeiT-Base,40.21164021164021,2.083170489659385,0.3888749749549188,0.4328837327893932,0.3806071757885998,0.424409439636849,0.4021164021164021,0.3910452644517245,0.5645161290322581,0.4729729729729729,0.5147058823529411,74.0,0.3043478260869565,0.1320754716981132,0.1842105263157894,53.0,0.4285714285714285,0.4864864864864865,0.4556962025316455,37.0,0.2580645161290322,0.64,0.367816091954023,25.0,0.6806156206642686,0.6521000718531582,0.7027027027027026,0.488762486126526,0.7683143669985776,0.7626829268292683,0.7027027027027026,0.488762486126526,0.7683143669985776,0.7626829268292683,0.6521000718531582
