Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
EfficientNet-B4,50.79365079365079,1.8762564633889176,0.4403978034930416,0.4813972463029067,0.4452788197049263,0.4854634928960956,0.5079365079365079,0.4815029683346762,0.6419753086419753,0.7027027027027027,0.6709677419354839,74.0,0.3181818181818182,0.1320754716981132,0.1866666666666666,53.0,0.6122448979591837,0.8108108108108109,0.6976744186046512,37.0,0.1891891891891892,0.28,0.2258064516129032,25.0,0.7455818406599988,0.7568563776676651,0.7685076380728555,0.7171198668146503,0.9366998577524892,0.56,0.7685076380728555,0.7171198668146503,0.9366998577524892,0.56,0.7568563776676651
MaxViT-Small,49.735449735449734,1.7317759025664556,0.5493317482031572,0.5143141254462009,0.4979677419746973,0.6254870021508458,0.4973544973544973,0.5291896163096872,0.7906976744186046,0.4594594594594595,0.5811965811965812,74.0,0.6111111111111112,0.4150943396226415,0.4943820224719101,53.0,0.6190476190476191,0.7027027027027027,0.6582278481012658,37.0,0.1764705882352941,0.48,0.2580645161290322,25.0,0.7307013584857176,0.7271166354058771,0.7842538190364278,0.6946448390677026,0.8536628733997155,0.5902439024390245,0.7842538190364278,0.6946448390677026,0.8536628733997155,0.5902439024390245,0.7271166354058771
CoAtNet-0,49.20634920634921,2.165376444973012,0.4783011264850768,0.451925038245793,0.444126026899428,0.5520744217227121,0.492063492063492,0.507196821900831,0.8382352941176471,0.7702702702702703,0.8028169014084507,74.0,0.2758620689655172,0.1509433962264151,0.1951219512195122,53.0,0.6428571428571429,0.4864864864864865,0.5538461538461539,37.0,0.15625,0.4,0.2247191011235955,25.0,0.6519734154318373,0.6766421246139059,0.8792009400705053,0.2816315205327413,0.8838904694167852,0.5631707317073171,0.8792009400705053,0.2816315205327413,0.8838904694167852,0.5631707317073171,0.6766421246139059
EfficientNet-B3,47.61904761904762,1.84965955391132,0.414694176790951,0.458934217236104,0.4193145558445331,0.4683714476341204,0.4761904761904761,0.457125907059412,0.5483870967741935,0.4594594594594595,0.5,74.0,0.5,0.3773584905660377,0.4301075268817204,53.0,0.5151515151515151,0.918918918918919,0.6601941747572816,37.0,0.0952380952380952,0.08,0.0869565217391304,25.0,0.7494890885487275,0.7537396302828402,0.6633372502937721,0.7681742508324084,0.9413229018492176,0.6251219512195122,0.6633372502937721,0.7681742508324084,0.9413229018492176,0.6251219512195122,0.7537396302828402
RegNet-Y-400MF,47.08994708994709,2.4248774537333735,0.4314915015896307,0.538610402855686,0.4542971734148204,0.4464990922865709,0.4708994708994709,0.4377737627037347,0.603448275862069,0.4729729729729729,0.5303030303030303,74.0,0.125,0.0566037735849056,0.0779220779220779,53.0,0.6808510638297872,0.8648648648648649,0.7619047619047619,37.0,0.3166666666666666,0.76,0.4470588235294118,25.0,0.7211885571012706,0.6894077246810933,0.7500587544065804,0.3897058823529411,0.9262091038406828,0.8187804878048781,0.7500587544065804,0.3897058823529411,0.9262091038406828,0.8187804878048781,0.6894077246810933
DenseNet-201,45.5026455026455,2.127546852227872,0.4664088938629597,0.4983477817440082,0.4798992673992674,0.4489565778654191,0.455026455026455,0.4501705525515049,0.4848484848484848,0.4324324324324324,0.4571428571428571,74.0,0.2549019607843137,0.2452830188679245,0.25,53.0,0.6097560975609756,0.6756756756756757,0.6410256410256411,37.0,0.5161290322580645,0.64,0.5714285714285714,25.0,0.6772811810480944,0.6773046667226562,0.5467685076380728,0.4479744728079911,0.8668207681365577,0.8475609756097562,0.5467685076380728,0.4479744728079911,0.8668207681365577,0.8475609756097562,0.6773046667226562
Xception,44.44444444444444,1.4727120046262387,0.4677269345238095,0.4539699133095359,0.3632811308639455,0.5332124748047368,0.4444444444444444,0.3510467903661246,0.7142857142857143,0.0675675675675675,0.1234567901234567,74.0,0.3828125,0.9245283018867924,0.5414364640883977,53.0,0.6904761904761905,0.7837837837837838,0.7341772151898734,37.0,0.0833333333333333,0.04,0.054054054054054,25.0,0.8316435409566019,0.781342440954434,0.7806110458284371,0.8700055493895672,0.9137624466571836,0.7621951219512195,0.7806110458284371,0.8700055493895672,0.9137624466571836,0.7621951219512195,0.781342440954434
EfficientNet-B5,43.91534391534392,1.8610004079404965,0.413894323696928,0.4593192248852626,0.4261372982787415,0.4391572214019506,0.4391534391534391,0.4301742619577841,0.559322033898305,0.4459459459459459,0.4962406015037593,74.0,0.2682926829268293,0.2075471698113207,0.2340425531914893,53.0,0.5576923076923077,0.7837837837837838,0.651685393258427,37.0,0.2702702702702703,0.4,0.3225806451612903,25.0,0.7023765871759018,0.7177197353564196,0.7599294947121035,0.6162597114317425,0.8296586059743956,0.603658536585366,0.7599294947121035,0.6162597114317425,0.8296586059743956,0.603658536585366,0.7177197353564196
MaxViT-Tiny,40.74074074074074,2.0788837980341026,0.4496880570409982,0.4511601223865374,0.4397771294232299,0.4370658027520773,0.4074074074074074,0.41520946535141,0.35,0.2837837837837837,0.3134328358208955,74.0,0.3409090909090909,0.2830188679245283,0.3092783505154639,53.0,0.9117647058823528,0.8378378378378378,0.8732394366197183,37.0,0.196078431372549,0.4,0.2631578947368421,25.0,0.7105030925138169,0.7386597986245254,0.5794359576968273,0.6183407325194229,0.9354551920341394,0.708780487804878,0.5794359576968273,0.6183407325194229,0.9354551920341394,0.708780487804878,0.7386597986245254
Inception V4,40.74074074074074,1.989368863206692,0.4205139298924293,0.4571060683324834,0.4098216461990902,0.4427821290456602,0.4074074074074074,0.4026184899980707,0.4545454545454545,0.3378378378378378,0.3875968992248062,74.0,0.5,0.2830188679245283,0.3614457831325301,53.0,0.4468085106382978,0.5675675675675675,0.5,37.0,0.2807017543859649,0.64,0.3902439024390244,25.0,0.7373696044443929,0.712326082696453,0.6787309048178614,0.6816037735849056,0.7628022759601707,0.8263414634146341,0.6787309048178614,0.6816037735849056,0.7628022759601707,0.8263414634146341,0.712326082696453
VGG19,40.21164021164021,1.339140016565878,0.1435751748251748,0.2594339622641509,0.1631515151515151,0.2077644577644578,0.4021164021164021,0.2487837101170434,0.4204545454545454,1.0,0.592,74.0,0.1538461538461538,0.0377358490566037,0.0606060606060606,53.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,25.0,0.5403607351649486,0.6416300402191055,0.9137485311398356,0.0965593784683684,0.640647226173542,0.5104878048780488,0.9137485311398356,0.0965593784683684,0.640647226173542,0.5104878048780488,0.6416300402191055
